"i","age_label","tissue","sum_density","level"
"-1","none","anus",0.00069615130908603,"Level3"
"-1","none","biliary",0.000203966290802729,"Level3"
"-1","none","bladder",0.00121630060533296,"Level3"
"-1","none","brain",0.00019471830249601,"Level3"
"-1","none","breast",0.000459721370513903,"Level3"
"-1","none","cervix",0.000663702063993693,"Level3"
"-1","none","colorectum",0.000489019063668992,"Level3"
"-1","none","colorectum_HYPER",0.00687341555113054,"Level3"
"-1","none","colorectum_MSI",0.00214574597263319,"Level3"
"-1","none","colorectum_MSS",0.000461608814871096,"Level3"
"-1","none","esophagus",0.000528396669785127,"Level3"
"-1","none","gallbladder",0.000282316987417367,"Level3"
"-1","none","headneck",0.000432252042884919,"Level3"
"-1","none","intestine",0.000269359490264175,"Level3"
"-1","none","kidney",0.000179603997617899,"Level3"
"-1","none","liver",0.000303702628077603,"Level3"
"-1","none","lung",0.000789714272498501,"Level3"
"-1","none","lymphoid",0.000149886166931676,"Level3"
"-1","none","mesothelium",0.000273785854276668,"Level3"
"-1","none","myeloid",0,"Level3"
"-1","none","ovary",0.000289780759551711,"Level3"
"-1","none","pancreas",0.000162468782928101,"Level3"
"-1","none","prostate",0.000227236688307367,"Level3"
"-1","none","sarcoma",0.000187339366974548,"Level3"
"-1","none","skin",0.00132125328930208,"Level3"
"-1","none","stomach",0.000651621746121613,"Level3"
"-1","none","thyroid",0.000919126377589102,"Level3"
"-1","none","unknown",0.000511569626606912,"Level3"
"-1","none","uterus",0.000288068725774111,"Level3"
"-1","none","uterus_HYPER",0.00390640385240854,"Level3"
"-1","none","uterus_MSI",0.00179907508206915,"Level3"
"-1","none","uterus_MSS",0.000713612808083477,"Level3"
"-10","none","anus",0.000694338255410794,"Level3"
"-10","none","biliary",0.000235449102661609,"Level3"
"-10","none","bladder",0.000441126516462828,"Level3"
"-10","none","brain",0.000117581102699495,"Level3"
"-10","none","breast",0.000186997009548717,"Level3"
"-10","none","cervix",0.000284672692606454,"Level3"
"-10","none","colorectum",0.000292370007002653,"Level3"
"-10","none","colorectum_HYPER",0.0132275843572452,"Level3"
"-10","none","colorectum_MSI",0.00225546887953707,"Level3"
"-10","none","colorectum_MSS",0.000224973277313253,"Level3"
"-10","none","esophagus",0.000188662263277951,"Level3"
"-10","none","gallbladder",0.000137969094922737,"Level3"
"-10","none","headneck",0.000109558721362701,"Level3"
"-10","none","intestine",0.00012249140132569,"Level3"
"-10","none","kidney",5.3307630956068e-05,"Level3"
"-10","none","liver",0.000131962499155248,"Level3"
"-10","none","lung",0.00034637508700103,"Level3"
"-10","none","lymphoid",5.61982483063467e-05,"Level3"
"-10","none","mesothelium",0,"Level3"
"-10","none","myeloid",8.36400133824021e-05,"Level3"
"-10","none","ovary",0.00010300232224315,"Level3"
"-10","none","pancreas",8.30415692373975e-05,"Level3"
"-10","none","prostate",9.1549229438894e-05,"Level3"
"-10","none","sarcoma",7.52423345650294e-05,"Level3"
"-10","none","skin",0.000768030994907385,"Level3"
"-10","none","stomach",0.000382611779286183,"Level3"
"-10","none","thyroid",0.000121030945010025,"Level3"
"-10","none","unknown",0.000272587397043377,"Level3"
"-10","none","uterus",0.00041377473320056,"Level3"
"-10","none","uterus_HYPER",0.00414483925059562,"Level3"
"-10","none","uterus_MSI",0.000985307153300651,"Level3"
"-10","none","uterus_MSS",7.39983396069774e-05,"Level3"
"-100","none","anus",0.00011671335200747,"Level3"
"-100","none","biliary",4.07838659026489e-05,"Level3"
"-100","none","bladder",0.000176868191000557,"Level3"
"-100","none","brain",0.000113672381569507,"Level3"
"-100","none","breast",0.000203780897590541,"Level3"
"-100","none","cervix",0.000159120418695831,"Level3"
"-100","none","colorectum",0.000180459160099778,"Level3"
"-100","none","colorectum_HYPER",0.0182118683694363,"Level3"
"-100","none","colorectum_MSI",0.00237719886910037,"Level3"
"-100","none","colorectum_MSS",0.00019707968508963,"Level3"
"-100","none","esophagus",0.000197044333716777,"Level3"
"-100","none","gallbladder",0.000100401606425703,"Level3"
"-100","none","headneck",0.000128731807133134,"Level3"
"-100","none","intestine",0.000187973615227195,"Level3"
"-100","none","kidney",6.81352419273198e-05,"Level3"
"-100","none","liver",0.000118155554799756,"Level3"
"-100","none","lung",0.000388671079171922,"Level3"
"-100","none","lymphoid",3.53603428587651e-05,"Level3"
"-100","none","mesothelium",9.14402171620803e-05,"Level3"
"-100","none","myeloid",0,"Level3"
"-100","none","ovary",0.000129770212995769,"Level3"
"-100","none","pancreas",6.13122900600025e-05,"Level3"
"-100","none","prostate",8.23980925770585e-05,"Level3"
"-100","none","sarcoma",0.000214215882153908,"Level3"
"-100","none","skin",0.00107600907363972,"Level3"
"-100","none","stomach",0.000250360654748224,"Level3"
"-100","none","thyroid",4.13667576735335e-05,"Level3"
"-100","none","unknown",0.000296315260037629,"Level3"
"-100","none","uterus",0.000306933452289449,"Level3"
